CJ101  DERECHO CIVIL
DS102  DERECHO COLECTIVO DEL TRABAJO
DD111  DERECHO COMPARADO
CJ100  DERECHO CONSTITUCIONAL
DP100  DERECHO CONSTITUCIONAL
DP122  DERECHO CONSULAR
DV113  DERECHO DE AUTOR
DP108  DERECHO DEL COMERCIO INTERNACIONAL
DS116  DERECHO ECOLOGICO
DD106  DERECHO ECONOMICO
CJ105  DERECHO FISCAL
DS118  DERECHO FISCAL
CJ106  DERECHO I
CJ109  DERECHO II
DS101  DERECHO INDIVIDUAL DEL TRABAJO
DP105  DERECHO INTERNACIONAL PRIVADO
DP107  DERECHO INTERNACIONAL PUBLICO
CJ111  DERECHO LABORAL
DP125  DERECHO MARITIMO INTERNACIONAL
CJ102  DERECHO MERCANTIL I
CJ103  DERECHO MERCANTIL II
DP123  DERECHO MIGRATORIO
DS117  DERECHO MINERO
DV118  DERECHO MONETARIO
DS114  DERECHO MUNICIPAL
DV116  DERECHO NOTARIAL
DP111  DERECHO PENITENCIARIO
DS103  DERECHO PROCESAL DEL TRABAJO
DS122  DERECHO PROCESAL FISCAL
DP119  DERECHO REGISTRAL
DD103  DERECHO ROMANO
DS120  DERECHO TURISTICO
DS115  DERECHO URBANO
DS100  DERECHO Y SEGURIDAD SOCIAL
DP117  DERECHOS HUMANOS
AD127  DESARROLLO DE EMPRENDEDORES
AD128  DESARROLLO E INNOVACION TECNOLOGICA
AD129  DESARROLLO ORGANIZACIONAL
EN106  DESARROLLO REGIONAL Y SUSTENTABILIDAD
DD119  DESARROLLO TECNOLOGICO I
DD133  DESARROLLO TECNOLOGICO II
DD134  DESARROLLO TECNOLOGICO III
DD135  DESARROLLO TECNOLOGICO IV
DD136  DESARROLLO TECNOLOGICO V
CM523  DESARROLLO URBANO
AEP03  DESCENTRALIZACION EDUCATIVA
TR110  DESPACHADOR DE VUELOS
AEP06  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MACRO
AEP07  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MICRO
AEC03  DIAGNOSTICO EDUCATIVO
AEE12  DIAGNOSTICO Y FUNDAMENTACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE16  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION  PARA LA SALUD
AEE20  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION AMBIENTAL
AEE28  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION ARTISTICA
AEE55  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE INFRACTORES
AEE51  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE NI~OS DE LA CALLE
AEE32  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION EN LENGUAS
AEE24  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION FISICA
AEE36  DIAGNOSTICO Y FUNDAMENTACION DE LA EPISTEMOLOGIA DE LA CIENCIA
CT134  DICTAMEN AUDITORIA FINANCIERA
CT133  DICTAMEN AUDITORIA FISCALES
MN109  DIFERENCIAS CULTURALES
SI106  DISE~O DE BASE DE DATOS
AEC05  DISE~O DE PROGRAMAS Y PROYECTOS EDUCATIVOS
AD141  DISE~O ORGANIZACIONAL
AEC11  DISE~O Y EVALUACION CURRICULAR
AEC13  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA I
AEC14  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA II
MN110  DISTRIBUCION Y LOGISTICA
CT135  ECOLOGICAS
MC103  ECONOMETRIA I
DD116  ECONOMIA I
EN113  ECONOMIA I
DD121  ECONOMIA II
EN114  ECONOMIA II
DD122  ECONOMIA III
DD123  ECONOMIA IV
DD124  ECONOMIA V
TR111  ECOTURISMO
CT136  EDITORIALES Y LIBRERIAS
AEC04  EDUCACION COMPARADA
CT137  EDUCATIVAS, PROGRAMA ESCUELA-EMPRESA
CM507  EL CAMPO DE LA EDUCACION AMBIENTAL EN AMERICA LATINA Y EL CARIBE
ADC03  EL FENOMENO EDUCATIVO
ADC08  EL TRABAJO SOCIAL EN EL AMBITO ESCOLAR
TR112  ELABORACION DE GUIAS TURISTICAS
MT150  ELEMENTOS DE PROBABILIDAD Y ESTADISTICA
TR113  ENOLOGIA
AEE47  ESPECIALIZANTE ARTISTICA I
AEE48  ESPECIALIZANTE ARTISTICA II
AEE49  ESPECIALIZANTE ARTISTICA III
AEE50  ESPECIALIZANTE ARTISTICA IV
AEE38  ESPECIALIZANTE DISCIPLINAR I
AEE39  ESPECIALIZANTE DISCIPLINAR II
AEE40  ESPECIALIZANTE DISCIPLINAR III
AEE41  ESPECIALIZANTE DISCIPLINAR IV
AEE46  ESPECIALIZANTE DISCIPLINAR IX
AEE42  ESPECIALIZANTE DISCIPLINAR V
AEE43  ESPECIALIZANTE DISCIPLINAR VI
AEE44  ESPECIALIZANTE DISCIPLINAR VII
AEE45  ESPECIALIZANTE DISCIPLINAR VIII
CM514  ESTADISTICA
MC106  ESTADISTICA I
MC107  ESTADISTICA II
MC108  ESTADISTICA III
CM517  ESTRATEGIAS DIDACTICAS PARA LA CLARIFICACION DE VALORES AMBIENTALES
CC204  ESTRUCTURA DE ARCHIVOS
CC202  ESTRUCTURA DE DATOS
DD109  ETICA JURIDICA
CT113  ETICA PROFESIONAL
RH112  ETICA PROFESIONAL Y VALORES SOCIALES
AEC16  EVALUACION DE INTERVENCION EDUCATIVA
AEE15  EVALUACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE58  EVALUACION DE LA EDUCACION DE INFRACTORES
AEE23  EVALUACION DE LA EDUCACION DE LA EDUCACION AMBIENTAL
AEE31  EVALUACION DE LA EDUCACION DE LA EDUCACION ARTISTICA
AEE35  EVALUACION DE LA EDUCACION DE LA EDUCACION EN LENGUAS
AEE27  EVALUACION DE LA EDUCACION DE LA EDUCACION FISICA
AEE54  EVALUACION DE LA EDUCACION NI~OS DE LA CALLE
AEE19  EVALUACION DE LA EDUCACION PARA LA SALUD
AEE11  EVALUACION DE LA GESTION Y ADMINISTRACION EDUCATIVA
EN130  EVALUACION DE PROYECTOS I
AEC09  EVALUACION EDUCATIVA
TR114  EVALUACION SOCIAL DE PROYECTOS I
CM504  EVOLUCION HISTORICA DE LAS RELACIONES SOCIEDAD-NATURALEZA
FN131  FACTORAJE FINANCIERO
DV108  FAMILIA
DD110  FILOSOFIA DEL DERECHO
DD117  FILOSOFIA I
DD125  FILOSOFIA II
DD126  FILOSOFIA III
DD127  FILOSOFIA IV
DD128  FILOSOFIA V
FN110  FINANZAS I
FN112  FINANZAS II
