CB115  ADMINISTRACION DEL MANTENIMIENTO INDUSTRIAL
ID403  ADMINISTRACION DEL MANTENIMIENTO INDUSTRIAL
EA632  ADMINISTRACION DEL TIEMPO EN LOS SERVICIOS DE ENFERMERIA
CS608  ADMINISTRACION EDUCATIVA
AD116  ADMINISTRACION ESTATAL Y MUNICIPAL
AD117  ADMINISTRACION ESTRATEGICA
P0036  ADMINISTRACION ESTRATEGICA
CB116  ADMINISTRACION ESTRATEGICA
I5139  ADMINISTRACION ESTRATEGICA
MN103  ADMINISTRACION ESTRATEGICA DE LOS MERCADOS
P0025  ADMINISTRACION FINANCIERA
FN101  ADMINISTRACION FINANCIERA
FN502  ADMINISTRACION FINANCIERA
I5099  ADMINISTRACION FINANCIERA
CS100  ADMINISTRACION GENERAL
AD118  ADMINISTRACION HOTELERA
AD119  ADMINISTRACION I
I0942  ADMINISTRACION I
AD120  ADMINISTRACION II
I5082  ADMINISTRACION II
RH104  ADMINISTRACION III (ADMINISTRACION DE RECURSOS HUMANOS)
RH105  ADMINISTRACION IV (HABILIDADES DIRECTIVAS)
I5112  ADMINISTRACION PARA LA TOMA DE DECISIONES
AD122  ADMINISTRACION PUBLICA
D1028  ADMINISTRACION PUBLICA
AD123  ADMINISTRACION PUBLICA COMPARADA
CB117  ADMINISTRACION PUBLICA COMPARADA
D1068  ADMINISTRACION PUBLICA DEL AMBIENTE
AD124  ADMINISTRACION SILVICOLA
IA020  ADMINISTRACION Y FINANZAS DE EMPRESAS PECUARIAS
EA143  ADMINISTRACION Y GESTION DE LA CALIDAD DE ENFERMERIA
CT123  AGRICOLAS
AG106  AGROCLIMATOLOGIA
I9472  AGROECOLOGIA
I9516  AGRONEGOCIOS
CT124  AGROPECUARIAS
BZ154  AGROSTOLOGIA
AG112  ALGEBRA
MT102  ALGEBRA
BC120  ALGEBRA LINEAL
MT120  ALGEBRA LINEAL I
I5884  ALGORITMIA
CB118  ALGORITMOS Y ESTRUCTURAS DE DATOS
P0050  ALIANZAS ESTRATEGICAS
CT125  ALIANZAS, FRANQUICIAS E INTEGRADORA
CS142  ALIMENTACION INSTITUCIONAL
IA028  ALIMENTACION Y NUTRICION ANIMAL ESPECIFICA AVES, PORCINOS, BOVINOS
I8862  ALIMENTACION Y NUTRICION APLICADA A POBLACIONES
I8879  ALIMENTACION Y NUTRICION EN EL ADULTO MAYOR
I8829  ALIMENTACION Y SALUD PUBLICA
I8673  ALIMENTACION,NUTRICION Y SOCIEDAD
AG161  ALIMENTOS Y ALIMENTACION
AI110  ALIMENTOS Y BEBIDAS
I9452  ALMACENAMIENTO Y EMPAQUE
NC106  ALTERACIONES NEURALES Y ACTIVIDAD PSIQUICA
CJ537  AMBIENTE LEGAL DE LAS ORGANIZACIONES
RH128  AMBIENTE Y DESARROLLO
DP106  AMPARO
SDP06  AMPARO
DS108  AMPARO AGRARIO
SDS08  AMPARO AGRARIO
D1127  AMPARO EN MATERIA ADMINISTRATIVA
D1128  AMPARO EN MATERIA AGRARIA
D1126  AMPARO EN MATERIA CIVIL
D1125  AMPARO EN MATERIA PENAL
D1032  AMPARO I
D1033  AMPARO II
D1065  AMPARO LABORAL
CB119  AMPLIFICADORES DE ALTA POTENCIA
AG130  ANALISIS AGROQUIMICO DE ALIMENTOS
CB120  ANALISIS AMBIENTAL
ID203  ANALISIS CONTABLE
I5328  ANALISIS CONTABLE DE CONCEPTOS ESPECIFICOS
DD502  ANALISIS CUALITATIVO
C0354  ANALISIS CUALITATIVOS DE LOS DATOS
CB121  ANALISIS DE ALGORITMOS Y COMPUTABILIDAD
I9434  ANALISIS DE ALIMENTOS
CB122  ANALISIS DE ALIMENTOS
CL149  ANALISIS DE DECISION EN LA CLINICA
CB123  ANALISIS DE FOURIER
I8613  ANALISIS DE LA DECISION EN LA CLINICA
C0342  ANALISIS DE LOS MODELOS DE ATENCION EN ESTOMATOLOGIA
P0053  ANALISIS DE MERCADOS FINANCIEROS
SI101  ANALISIS DE SISTEMAS
CB124  ANALISIS DE SISTEMAS Y SEÑALES
I5339  ANALISIS DEL CAPITAL CONTABLE
I6554  ANALISIS DEL DISCURSO
P0037  ANALISIS DEL ENTORNO ECONOMICO
I8853  ANALISIS E INTERPRETACION DE DATOS DE INVESTIGACION EN NUTRICION
D1136  ANALISIS ECONOMICO DEL DERECHO
I5340  ANALISIS INTEGRAL DE LOS ELEMENTOS DEL COSTO
P0153  ANALISIS JURIDICO
CB125  ANALISIS MULTIVARIABLE
C0330  ANALISIS MULTIVARIADO EN EPIDEMIOLOGIA
MT130  ANALISIS NUMERICO I
MT131  ANALISIS NUMERICO II
CJ150  ANALISIS SOCIOECONOMICO DE MEXICO
CC316  ANALISIS Y DISEÑO DE ALGORITMOS
EJ512  ANALISIS Y PRODUCCION DE MATERIALES DIDACTICOS
AG165  ANATOMIA ANIMAL
I9019  ANATOMIA BUCAL
OP129  ANATOMIA BUCAL I
OP130  ANATOMIA BUCAL II
I9018  ANATOMIA DE CABEZA Y CUELLO
I8554  ANATOMIA HUMANA Y DISECCIONES
MV100  ANATOMIA VETERINARIA
I9482  ANATOMIA Y FISIOLOGIA ANIMAL
PN101  ANDROLOGIA VETERINARIA
EA543  ANESTESIOLOGIA
I9020  ANESTESIOLOGIA BUCAL
CI138  ANESTESIOLOGIA BUCAL
EA551  ANGIOLOGIA
ET300  ANTENAS
CB126  ANTENAS Y PROPAGACION
CS103  ANTROPOLOGIA AVANZADA
CS143  ANTROPOLOGIA DE LA NUTRICION
I5403  ANTROPOLOGIA DENTAL
I8875  APLICACION PROFESIONAL EN ALIMENTACION Y NUTRICION POBLACIONAL
I8869  APLICACION PROFESIONAL EN CIENCIAS DE LOS ALIMENTOS
I8871  APLICACION PROFESIONAL EN GESTION DE SERVICIOS DE ALIMENTOS
I8873  APLICACION PROFESIONAL EN NUTRICION CLINICA
I9107  APLICACIONES DE LA ENTREVISTA PSICOLOGICA
PB117  APLICACIONES DE LA ENTREVISTA PSICOLOGICA
PA120  APLICACIONES DE LA PSICOLOGIA SOCIAL
D1093  ARBITRAJE INTERNACIONAL Y SOLUCIONES PACIFICAS DE CONTROVERSIAS INTERNACIONALES
D1144  ARBITRAJE Y MEDIOS ALTERNATIVOS DE SOLUCION DE CONFLICTOS
CB127  ARQUITECTURA AVANZADA DE COMPUTADORAS
CC210  ARQUITECTURA DE COMPUTADORAS
I7023  ARQUITECTURA DE COMPUTADORAS
CC409  ARQUITECTURA DE COMPUTADORAS AVANZADA
FN130  ARRENDADORAS
CT126  ARRENDADORAS FINANCIERAS
ID303  ASEGURAMIENTO DE LA CALIDAD
I5363  ASPECTOS AVANZADOS DE PATOLOGIA ORAL
ED132  ATENCION EN URGENCIAS A PACIENTES  ESPECIALES
P0588  ATENCION PRIMARIA
AU105  AUDITORIA ADMINISTRATIVA
I5116  AUDITORIA ADMINISTRATIVA
CC403  AUDITORIA DE SISTEMAS
SI105  AUDITORIA EN INFORMATICA
I5334  AUDITORIA FINANCIERA
I5335  AUDITORIA FISCAL
AU100  AUDITORIA I
AU101  AUDITORIA II
AU102  AUDITORIA III
AU103  AUDITORIA IV
TR105  AUDITORIA NOCTURNA DE HOTELES
I8708  AUTOCUIDADO DE GRUPOS DE RIESGO
CB128  AUTOMATAS PROGRAMABLES
CB129  AUTOMATAS Y LENGUAJES FORMALES
CB130  AUTOMATISMOS
ET301  AUTOMATIZACION
CB131  AUTOMATIZACION DE SISTEMAS DE MANUFACTURA
ID425  AUTOMATIZACION INDUSTRIAL I
ID426  AUTOMATIZACION INDUSTRIAL II
MV107  BACTERIOLOGIA VETERINARIA
I9435  BALANCE DE MATERIA Y ENERGIA
CB132  BALANCE DE MATERIA Y ENERGIA
EN102  BANCA Y ORGANIZACIONES AUXILIARES DE CREDITO
CT127  BANCARIA, INSTITUCIONES Y ORGANISMOS AUXILIARES DE CREDITO
DV110  BANCARIO
SDV10  BANCARIO
NC100  BASES BIOLOGICAS DE LA ACTIVIDAD PSIQUICA
CC302  BASES DE DATOS
I5890  BASES DE DATOS
CC309  BASES DE DATOS AVANZADAS
