CB146  CALCULO DIFERENCIAL E INTEGRAL
MT110  CALCULO DIFERENCIAL E INTEGRAL
AD125  CALIDAD TOTAL
ID207  CALIDAD TOTAL
CB147  CALIDAD Y PRODUCTIVIDAD
CB148  CALIDAD Y TRATAMIENTO DEL AGUA
CB149  CAMPO ELECTROMAGNETICO Y ONDAS
CB150  CIENCIA DE LOS ALIMENTOS
IM201  CIENCIA DE MATERIALES
CB151  CIENCIA Y TECNICA DE CEREALES Y OLEAGINOSAS
CB152  CIENCIA Y TECNICA DE LA CARNE
CB153  CIENCIA, TECNOLOGIA Y SOCIEDAD
NC107  CIENCIAS COGNITIVAS
DV120  CIENCIAS DOGMATICAS I
SDV20  CIENCIAS DOGMATICAS I
DV121  CIENCIAS DOGMATICAS II
SDV21  CIENCIAS DOGMATICAS II
DV122  CIENCIAS DOGMATICAS III
SDV22  CIENCIAS DOGMATICAS III
DV123  CIENCIAS DOGMATICAS IV
SDV23  CIENCIAS DOGMATICAS IV
DV124  CIENCIAS DOGMATICAS V
SDV24  CIENCIAS DOGMATICAS V
IM215  CINEMATICA Y DINAMICA DE MAQUINAS
CB154  CIRCUITOS ELECTRICOS
IM202  CIRCUITOS ELECTRICOS I
IM203  CIRCUITOS ELECTRICOS II
CB155  COMBINATORIA
ID410  COMERCIALIZACION
CT128  COMERCIO EXTERIOR, INTERNACIONAL Y MAQUILADORAS
CB156  COMERCIO INTERNACIONAL
P0045  COMERCIO INTERNACIONAL
MN105  COMERCIO INTERNACIONAL
CT129  COMISIONES, MEDIACIONES, AGENCIAS Y REPRESENTACIONES
CB157  COMPILADORES
CC317  COMPILADORES
ID201  COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES
AD126  COMPORTAMIENTO ORGANIZACIONAL
DD114  COMPUTACION
SDD14  COMPUTACION
CB158  COMPUTACION TOLERANTE A FALLAS
CC411  COMPUTACION TOLERANTE A FALLAS
PA105  COMUNICACION EDUCATIVA
CM511  COMUNICACION EDUCATIVA Y DESARROLLO COMUNITARIO
ET400  COMUNICACION MOVIL
ET200  COMUNICACIONES I
ET302  COMUNICACIONES II
CM500  CONCEPCION DE MUNDO Y EL SENTIDO DE REALIDAD
CB159  CONCEPTOS DE CALCULO DIFERENCIAL E INTEGRAL
DV117  CONDOMINIO
SDV17  CONDOMINIO
MN107  CONDUCTA DEL CONSUMIDOR
ADC01  CONOCIMIENTO DE LA REALIDAD
CT130  CONSTRUCTORAS E INMOBILIARIAS
CB160  CONTABILIDAD
CT102  CONTABILIDAD ADMINISTRATIVA
DS113  CONTABILIDAD APLICADA AL DERECHO
SDS13  CONTABILIDAD APLICADA AL DERECHO
CT115  CONTABILIDAD DE COSTOS I
CT114  CONTABILIDAD GUBERNAMENTAL
CT100  CONTABILIDAD I
CT101  CONTABILIDAD II
CT103  CONTABILIDAD III
MN145  CONTABILIDAD INTERNACIONAL
CT104  CONTABILIDAD IV
EN103  CONTABILIDAD NACIONAL
CT105  CONTABILIDAD V
CT106  CONTABILIDAD VI
CT107  CONTABILIDAD VII
CT108  CONTABILIDAD VIII
CB161  CONTAMINACION DEL AIRE
DS112  CONTENCIOSO ADMINISTRATIVO
SDS12  CONTENCIOSO ADMINISTRATIVO
DV105  CONTRATOS
SDV05  CONTRATOS
CB162  CONTROL DIFUSO
CB163  CONTROL DIGITAL
ET401  CONTROL DISTRIBUIDO
ID208  CONTROL ESTADISTICO DE LA CALIDAD
CB164  CONTROL ESTADISTICO DE PROCESOS
MC102  CONTROL ESTADISTICO DE PROCESOS
ET303  CONTROL MODERNO
CT131  CONTROLADORAS Y CONTROLADAS
IM374  CONVERSION DE ENERGIA ELECTROMECANICA
CT132  COOPERATIVAS Y CAJAS DE AHORRO
AEP01  COORDINACION DE INTERVENCION EDUCATIVA
DV115  CORREDURIA PUBLICA
SDV15  CORREDURIA PUBLICA
CT109  COSTOS I
CT110  COSTOS II
CT111  COSTOS III
CT112  COSTOS IV
DP113  CRIMINALISTICA
SDP13  CRIMINALISTICA
DP115  CRIMINOLOGIA
SDP15  CRIMINOLOGIA
GPP03  CUARTA PRACTICA PROFESIONAL
AI119  CULTURA REGIONAL
CM516  CURRICULUM Y EDUCACION AMBIENTAL
MH104  DANZA Y MOVIMIENTO LIBRE
ADC13  DELINCUENCIA Y LEGISLACION
DP112  DELITOS ESPECIALES
SDP12  DELITOS ESPECIALES
DP121  DERECHO ADUANERO
DP133  DERECHO ADUANERO
SDP21  DERECHO ADUANERO
DS104  DERECHO AGRARIO
SDS04  DERECHO AGRARIO
DS107  DERECHO BUROCRATICO
SDS07  DERECHO BUROCRATICO
DV119  DERECHO CANONICO
SDV19  DERECHO CANONICO
DS119  DERECHO CASTRENSE
SDS19  DERECHO CASTRENSE
CJ101  DERECHO CIVIL
DS102  DERECHO COLECTIVO DEL TRABAJO
SDS02  DERECHO COLECTIVO DEL TRABAJO
DD111  DERECHO COMPARADO
SDD11  DERECHO COMPARADO
CJ100  DERECHO CONSTITUCIONAL
DP100  DERECHO CONSTITUCIONAL
SDP00  DERECHO CONSTITUCIONAL
P0038  DERECHO CONSTITUCIONAL ADMINISTRATIVO  FISCAL
DP122  DERECHO CONSULAR
DP136  DERECHO CONSULAR
SDP22  DERECHO CONSULAR
CB165  DERECHO CORPORATIVO
P0040  DERECHO CORPORATIVO I
P0044  DERECHO CORPORATIVO II
DV113  DERECHO DE AUTOR
SDV13  DERECHO DE AUTOR
DP108  DERECHO DEL COMERCIO INTERNACIONAL
SDP08  DERECHO DEL COMERCIO INTERNACIONAL
DP129  DERECHO ECOLOGICO
DS116  DERECHO ECOLOGICO
SDS16  DERECHO ECOLOGICO
DD106  DERECHO ECONOMICO
SDD06  DERECHO ECONOMICO
CJ105  DERECHO FISCAL
DS118  DERECHO FISCAL
SDS18  DERECHO FISCAL
P0042  DERECHO FISCAL COMPARADO
CJ106  DERECHO I
CJ109  DERECHO II
DS101  DERECHO INDIVIDUAL DEL TRABAJO
SDS01  DERECHO INDIVIDUAL DEL TRABAJO
CB166  DERECHO INTERNACIONAL
DP105  DERECHO INTERNACIONAL PRIVADO
SDP05  DERECHO INTERNACIONAL PRIVADO
DP107  DERECHO INTERNACIONAL PUBLICO
SDP07  DERECHO INTERNACIONAL PUBLICO
CJ111  DERECHO LABORAL
DP125  DERECHO MARITIMO INTERNACIONAL
DP135  DERECHO MARITIMO INTERNACIONAL
SDP25  DERECHO MARITIMO INTERNACIONAL
CJ102  DERECHO MERCANTIL I
CJ103  DERECHO MERCANTIL II
DP123  DERECHO MIGRATORIO
DP137  DERECHO MIGRATORIO
SDP23  DERECHO MIGRATORIO
DP130  DERECHO MINERO
DS117  DERECHO MINERO
SDS17  DERECHO MINERO
DV118  DERECHO MONETARIO
SDV18  DERECHO MONETARIO
DP131  DERECHO MUNICIPAL
DS114  DERECHO MUNICIPAL
SDS14  DERECHO MUNICIPAL
DV116  DERECHO NOTARIAL
SDV16  DERECHO NOTARIAL
DP111  DERECHO PENITENCIARIO
SDP11  DERECHO PENITENCIARIO
DS103  DERECHO PROCESAL DEL TRABAJO
SDS03  DERECHO PROCESAL DEL TRABAJO
DS122  DERECHO PROCESAL FISCAL
SDS22  DERECHO PROCESAL FISCAL
DP119  DERECHO REGISTRAL
DP128  DERECHO REGISTRAL
SDP19  DERECHO REGISTRAL
DD103  DERECHO ROMANO
SDD03  DERECHO ROMANO
DS120  DERECHO TURISTICO
SDS20  DERECHO TURISTICO
DP127  DERECHO URBANO
DS115  DERECHO URBANO
SDS15  DERECHO URBANO
DS100  DERECHO Y SEGURIDAD SOCIAL
SDS00  DERECHO Y SEGURIDAD SOCIAL
DP117  DERECHOS HUMANOS
SDP17  DERECHOS HUMANOS
AD127  DESARROLLO DE EMPRENDEDORES
CB167  DESARROLLO DE PRODUCTOS
AD128  DESARROLLO E INNOVACION TECNOLOGICA
AD129  DESARROLLO ORGANIZACIONAL
CB168  DESARROLLO ORGANIZACIONAL
ID402  DESARROLLO ORGANIZACIONAL
EN106  DESARROLLO REGIONAL Y SUSTENTABILIDAD
CB169  DESARROLLO SUSTENTABLE
DD119  DESARROLLO TECNOLOGICO I
SDD19  DESARROLLO TECNOLOGICO I
DD133  DESARROLLO TECNOLOGICO II
SDD32  DESARROLLO TECNOLOGICO II
DD134  DESARROLLO TECNOLOGICO III
SDD33  DESARROLLO TECNOLOGICO III
DD135  DESARROLLO TECNOLOGICO IV
SDD34  DESARROLLO TECNOLOGICO IV
DD136  DESARROLLO TECNOLOGICO V
SDD35  DESARROLLO TECNOLOGICO V
CM523  DESARROLLO URBANO
PA121  DESARROLLO, APRENDIZAJE Y EDUCACION
AEP03  DESCENTRALIZACION EDUCATIVA
AEP06  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MACRO
AEP07  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MICRO
AEC03  DIAGNOSTICO EDUCATIVO
AEE12  DIAGNOSTICO Y FUNDAMENTACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE16  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION  PARA LA SALUD
AEE20  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION AMBIENTAL
AEE28  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION ARTISTICA
AEE55  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE INFRACTORES
AEE51  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE NI~OS DE LA CALLE
AEE32  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION EN LENGUAS
AEE24  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION FISICA
AEE36  DIAGNOSTICO Y FUNDAMENTACION DE LA EPISTEMOLOGIA DE LA CIENCIA
IM204  DIBUJO INDUSTRIAL
IM205  DIBUJO INDUSTRIAL ASISTIDO POR COMPUTADORA
CT134  DICTAMEN AUDITORIA FINANCIERA
CT133  DICTAMEN AUDITORIA FISCALES
CS114  DIDACTICA GENERAL
CB170  DIFERENCIA FINITAS Y ELEMENTO FINITO
MN109  DIFERENCIAS CULTURALES
FS104  DINAMICA
PB104  DINAMICA DE GRUPOS
ET201  DISE~O CON ELECTRONICA INTEGRADA
SI106  DISE~O DE BASE DE DATOS
CB171  DISE~O DE ELEMENTOS DE MAQUINAS
IM313  DISE~O DE ELEMENTOS DE MAQUINAS
IM423  DISE~O DE EQUIPO DE PROCESOS
CB172  DISE~O DE EQUIPO ELECTRICO
IM406  DISE~O DE EQUIPOS ELECTRICOS
IM418  DISE~O DE EXPERIMENTOS
IM312  DISE~O DE HERRAMENTAL
FM100  DISE~O DE INSTRUMENTOS DE MEDICION
CB173  DISE~O DE MAQUINAS
IM340  DISE~O DE MAQUINAS
CB174  DISE~O DE PLANTAS BIOTECNOLOGICAS
AEC05  DISE~O DE PROGRAMAS Y PROYECTOS EDUCATIVOS
CB175  DISE~O DE PROTESIS
FM101  DISE~O DE PROTOCOLO DE INVESTIGACION
CB176  DISE~O DE SISTEMAS INDUSTRIALES
ET402  DISE~O DIGITAL ASISTIDO POR COMPUTADORA
CB177  DISE~O ELECTRONICO ANALOGICO
CB178  DISE~O ELECTRONICO ASISTIDO POR COMPUTADORA
CB179  DISE~O ELECTRONICO DIGITAL
CB311  DISE~O EXPERIMENTAL
CB180  DISE~O MECATRONICO
AD141  DISE~O ORGANIZACIONAL
AEC11  DISE~O Y EVALUACION CURRICULAR
IM301  DISE~O Y MANUFACTURA POR COMPUTADORA
AEC13  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA I
AEC14  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA II
CB181  DISE~O Y PROGRAMACION DE SISTEMAS OPERATIVOS
CB182  DISE~O Y PROGRAMACION ORIENTADO A OBJETOS
