CJ151  ANTROPOLOGIA SOCIAL
SI205  APLICACIONES EN RED I
SI206  APLICACIONES EN RED II
AEP02  APRENDIZAJE Y DIVERSIDAD
TR104  ARQUEOLOGIA
FN130  ARRENDADORAS
CT126  ARRENDADORAS FINANCIERAS
MN571  ASEGURAMIENTO DE LA CALIDAD
AD544  ASEGURAMIENTO DE LA CALIDAD (N)
MN519  ASESORIA EXTERNA PARA TESIS
RH107  ASPECTOS FISCALES DE LOS RECURSOS HUMANOS
CJ152  ASPECTOS JURIDICOS DE LA ADMINISTRACION PUBLICA
CJ153  ASPECTOS JURIDICOS DE LA EMPRESA
SSI09  ATENCION Y APOYO A ESTUDIANTES EN LA EDUCACION A DISTANCIA
SSI55  AUDIO Y VIDEO-CONFERENCIA INTERACTIVA
AU105  AUDITORIA ADMINISTRATIVA
AU106  AUDITORIA ADMINISTRATIVA DE EMPRESAS TURISTICAS
AU107  AUDITORIA DE PERSONAL
SI105  AUDITORIA EN INFORMATICA
P0012  AUDITORIA GUBERNAMENTAL
AU516  AUDITORIA GUBERNAMENTAL (N)
AU100  AUDITORIA I
P0002  AUDITORIA I
AU512  AUDITORIA I (N)
AU101  AUDITORIA II
P0006  AUDITORIA II
AU513  AUDITORIA II (N)
AU102  AUDITORIA III
P0010  AUDITORIA III
AU514  AUDITORIA III (N)
P0016  AUDITORIA INTERNACIONAL
AU519  AUDITORIA INTERNACIONAL (N)
AU103  AUDITORIA IV
P0014  AUDITORIA IV
AU518  AUDITORIA IV (N)
TR105  AUDITORIA NOCTURNA DE HOTELES
AU509  AUDITORIO PARA EFECTOS FISCALES
SI139  AUTOMATIZACION DE ESTRATEGIAS FISCALES
SSI10  AUTORIA PARA MULTIMEDIA
EN102  BANCA Y ORGANIZACIONES AUXILIARES DE CREDITO
CT127  BANCARIA, INSTITUCIONES Y ORGANISMOS AUXILIARES DE CREDITO
SI509  BASES DE DATOS
SI546  BASES DE DATOS (N)
TR103  BOLETAJE AEREO NACIONAL E INTERNACIONAL
MN573  CALIDAD EN EL SERVICIO
MN610  CALIDAD EN EL SERVICIO (N)
AD527  CALIDAD EN LOS SERVICIOS PUBLICOS
AD125  CALIDAD TOTAL
P0017  CALIDAD TOTAL
MN545  CANALES DE DISTRIBUCION Y LOGISTICA
MN615  CANALES DE DISTRIBUCION Y LOGISTICA (N)
SRH02  CAPACITACION PARA EL TRABAJO
SRH55  CAPACITACION PARA EL TRABAJO
RH144  CAPACITACION Y DESARROLLO DE PERSONAL
EN519  CAPITAL, CRECIMIENTO Y TEMAS SELECTOS
AU517  CASOS PRACTICOS DE AUDITORIA
AD551  CERTIFICACION DE LA CALIDAD EN EL SECTOR PUBLICO
TR108  COCINA Y REPOSTERIA
P0075  COMERCIALIZACION DE SERVICIOS FINANCIEROS
MN510  COMERCIALIZACION EN LOS MERCADOS INTERNACIONALES
MN141  COMERCIALIZADORAS INTERNACIONALES
MN565  COMERCIO ELECTRONICO
MN625  COMERCIO ELECTRONICO (N)
MN104  COMERCIO EXTERIOR
CT128  COMERCIO EXTERIOR, INTERNACIONAL Y MAQUILADORAS
P0029  COMERCIO INTERNACIONAL
P0045  COMERCIO INTERNACIONAL
MN105  COMERCIO INTERNACIONAL
MN511  COMERCIO INTERNACIONAL
MN581  COMERCIO INTERNACIONAL (N)
CT129  COMISIONES, MEDIACIONES, AGENCIAS Y REPRESENTACIONES
MN106  COMPETITIVIDAD GLOBAL
MN554  COMPETITIVIDAD GLOBAL
RH145  COMPORTAMIENTO HUMANO
AD126  COMPORTAMIENTO ORGANIZACIONAL
AD145  COMPORTAMIENTO ORGANIZACIONAL
AD509  COMPORTAMIENTO Y DISE~O ORGANIZACIONAL
MN613  COMUNICACION COMERCIAL
CM511  COMUNICACION EDUCATIVA Y DESARROLLO COMUNITARIO
CM500  CONCEPCION DE MUNDO Y EL SENTIDO DE REALIDAD
MN107  CONDUCTA DEL CONSUMIDOR
MN584  CONDUCTA DEL CONSUMIDOR (N)
MN541  CONDUCTAS DEL CONSUMIDOR
TR178  CONGRESOS Y CONVENCIONES
ADC01  CONOCIMIENTO DE LA REALIDAD
P0021  CONTABILIDAD ADMINISTRATIVA
CT102  CONTABILIDAD ADMINISTRATIVA
CT504  CONTABILIDAD ADMINISTRATIVA
CT119  CONTABILIDAD DE COSTOS EN SERVICIOS TURISTICOS
CT115  CONTABILIDAD DE COSTOS I
CT116  CONTABILIDAD DE COSTOS II
CT149  CONTABILIDAD FINANCIERA
