AV280  ACRILICO
AC534  SEMINARIO OPTATIVO I
AC535  SEMINARIO OPTATIVO II
AC536  SEMINARIO OPTATIVO III
AC537  SEMINARIO OPTATIVO IV
AC511  SEMINARIO TEMATICO I
AC512  SEMINARIO TEMATICO II
AC513  SEMINARIO TEMATICO III
AC514  SEMINARIO TEMATICO IV
AC515  SEMINARIO TEMATICO V
AC532  SEMINARIO TEMATICO VI
AC533  SEMINARIO TEMATICO VII
TH132  SEMIOTICA DE LA ARQUITECTURA
TH131  SEMIOTICA DE LA IMAGEN
TH264  SEMIOTICA Y AXIOLOGIA
AV282  SERIGRAFIA BASICA I
AV283  SERIGRAFIA BASICA II
PD147  SERIGRAFIA I
PD148  SERIGRAFIA II
MN136  SERVICIO AL CLIENTE
TR143  SERVICIOS EN CENTROS RECREATIVOS
RC119  SEXUALIDAD HUMANA
CC408  SIMULACION DE SISTEMAS DIGITALES
AD137  SIMULACION Y TECNICAS DE NEGOCIOS
MA504  SISMOLOGIA I
MA507  SISMOLOGIA II
MA512  SISMOLOGIA III
AC527  SISTEMA DE INFORMACION GEOGRAFICA
ADC11  SISTEMA EDUCATIVO NACIONAL
MN586  SISTEMAS DE CALIDAD Y EL DESARROLLO SUSTENTABLE
AU510  SISTEMAS DE CONTROL INTERNO
SI127  SISTEMAS DE INFORMACION
SI538  SISTEMAS DE INFORMACION (N)
MA509  SISTEMAS DE INFORMACION GEOGRAFICA I
MA514  SISTEMAS DE INFORMACION GEOGRAFICA II
IT391  SISTEMAS DE TRANSPORTE
ET209  SISTEMAS DIGITALES I
ET210  SISTEMAS DIGITALES II
ET211  SISTEMAS DIGITALES III
CC400  SISTEMAS EXPERTOS
IN130  SISTEMAS INDUSTRIALES I
IN135  SISTEMAS INDUSTRIALES II
IN138  SISTEMAS INDUSTRIALES III
DD112  SISTEMAS JURIDICOS CONTEMPORANEOS
TC112  SISTEMAS MECANICOS, HIDRAULICOS Y SANITARIOS
CC300  SISTEMAS OPERATIVOS
IF124  SISTEMAS OPERATIVOS ABIERTOS
CC319  SISTEMAS OPERATIVOS AVANZADOS
IF130  SISTEMAS OPERATIVOS DE REDES
SCJ86  SOCIEDAD DE LA INFORMACION Y EL CONOCIMIENTO
CJ134  SOCIOANTROPOLOGIA APLICADA AL TURISMO
CS110  SOCIOLOGIA AVANZADA
CD101  SOCIOLOGIA DE LAS ORGANIZACIONES
H0002  SOCIOLOGIA DEL ADOLESCENTE
DD118  SOCIOLOGIA I
DD129  SOCIOLOGIA II
DD130  SOCIOLOGIA III
DD131  SOCIOLOGIA IV
DD104  SOCIOLOGIA JURIDICA
DD132  SOCIOLOGIA V
SI132  SOFTWARE APLICADO I
SI133  SOFTWARE APLICADO II
CT121  SOFTWARE ESPECIALIZADO I
SI134  SOFTWARE ESPECIALIZADO I
CT147  SOFTWARE ESPECIALIZADO II
SI135  SOFTWARE ESPECIALIZADO II
IN156  SOFTWARE PARA INGENIERIA
SI539  SOFWARE APLICADO A MODELOS FINANCIERO/ADMVOS
IF192  SONORIZACION DE PROYECTOS DE COMUNICACION MULTIMEDIA
DV107  SUCESIONES
CM506  SUSTENTABILIDAD Y MODELOS DE DESARROLLO
AE190  TALLER DE BAILES DE SALON
AE191  TALLER DE BAILES INTERNACIONALES
CC303  TALLER DE BASES DE DATOS
IN151  TALLER DE CARPINTERIA
CC318  TALLER DE COMPILADORES
ID102  TALLER DE COMUNICACION ORAL Y ESCRITA
RH137  TALLER DE ESTRATEGIAS DE APRENDIZAJE GRUPAL
CC205  TALLER DE ESTRUCTURA DE ARCHIVOS
CC203  TALLER DE ESTRUCTURA DE DATOS
AD142  TALLER DE EXPRESION ORAL Y ESCRITA I
CC312  TALLER DE GRAFICAS POR COMPUTADORA
CC101  TALLER DE INTRODUCCION A LA COMPUTACION
TH279  TALLER DE INVESTIGACION I
TH280  TALLER DE INVESTIGACION II
MU237  TALLER DE LAUDERIA
DD107  TALLER DE LECTURA JURIDICA I
DD108  TALLER DE LECTURA JURIDICA II
MN138  TALLER DE MERCADOTECNIA
MU239  TALLER DE OPERA
CC414  TALLER DE PROGRAMACION CONCURRENTE Y DISTRIBUIDA
CC207  TALLER DE PROGRAMACION DE SISTEMAS
CC103  TALLER DE PROGRAMACION ESTRUCTURADA
CC308  TALLER DE PROGRAMACION LOGICA Y FUNCIONAL
CC201  TALLER DE PROGRAMACION ORIENTADA A OBJETOS
DD503  TALLER DE PROYECTOS I
DD504  TALLER DE PROYECTOS II
MN139  TALLER DE PUBLICIDAD
TH171  TALLER DE RECURSOS DIDACTICOS II
ID103  TALLER DE REDACCION
CC325  TALLER DE REDES AVANZADAS
CC213  TALLER DE REDES DE COMPUTADORAS
ET214  TALLER DE SISTEMAS DIGITALES III
CC402  TALLER DE SISTEMAS MULTIMEDIA
CC301  TALLER DE SISTEMAS OPERATIVOS
CC320  TALLER DE SISTEMAS OPERATIVOS AVANZADOS
IN149  TALLER DE SOLDADURA
AE210  TALLER DE TITERES I
AE211  TALLER DE TITERES II
IN150  TALLER DE TORNO
AE212  TEATRO ORIENTAL
AE124  TECNICA COREOGRAFICA I
AE125  TECNICA COREOGRAFICA II
PB114  TECNICAS DE EVALUACION DE LA PERSONALIDAD EN ADULTOS
PB115  TECNICAS DE EVALUACION DE LA PERSONALIDAD INFANTIL
TH265  TECNICAS DE INVESTIGACION
AC528  TECNICAS DE INVESTIGACION: PAQUETE ESTADISTICO PARA CIENCIAS SOCIALES
TH276  TECNICAS DE LA ENSE~ANZA DE LA DANZA I
TH277  TECNICAS DE LA ENSE~ANZA DE LA DANZA II
RE128  TECNICAS DE REPRESENTACION
PD118  TECNICAS DE REPRODUCCION I (PREPRENSA)
PD119  TECNICAS DE REPRODUCCION II (IMPRESION)
TC135  TECNICAS DE SIMULACION
CM518  TECNICAS DEL DESARROLLO DEL TALENTO Y LA CREATIVIDAD
SCJ77  TECNICAS PARA EL ANALISIS ORGANIZACIONAL
IF142  TECNOLOGIA DE INFORMACION
SSI01  TECNOLOGIA DE LA INFORMACION Y COMUNICACION APLICADA A LA EDUCACION
P0080  TECNOLOGIA EDUCATIVA
SSI53  TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION APLICADAS A LA EDUCACION (N)
IF196  TELECOMUNICACIONES
CC211  TELEINFORMATICA
IF102  TELEPROCESOS
SI136  TELEPROCESOS Y REDES
IT406  TEMAS ESPECIALES I DE CONSTRUCCION
IT426  TEMAS ESPECIALES I DE ESTRUCTURAS
IT433  TEMAS ESPECIALES I DE GEOTECNIA
IT452  TEMAS ESPECIALES I DE HIDRAULICA
IT495  TEMAS ESPECIALES I DE VIAS TERRESTRES
IT407  TEMAS ESPECIALES II DE CONSTRUCCION
IT427  TEMAS ESPECIALES II DE ESTRUCTURAS
IT434  TEMAS ESPECIALES II DE GEOTECNIA
IT454  TEMAS ESPECIALES II DE HIDRAULICA
IT496  TEMAS ESPECIALES II DE VIAS TERRESTRES
MA516  TEMAS SELECTOS EN GEOFISICA I
MA517  TEMAS SELECTOS EN GEOFISICA II
MA518  TEMAS SELECTOS EN GEOFISICA III
MA519  TEMAS SELECTOS EN GEOGRAFIA I
MA520  TEMAS SELECTOS EN GEOGRAFIA II
MA521  TEMAS SELECTOS EN GEOGRAFIA II
MA522  TEMAS SELECTOS EN GEOLOGIA I
MA523  TEMAS SELECTOS EN GEOLOGIA II
MA525  TEMAS SELECTOS EN SISMOLOGIA
MA526  TEMAS SELECTOS EN SISMOLOGIA II
MA527  TEMAS SELECTOS EN SISMOLOGIA III
MA524  TEMAS SELECTOS Y GEOLOGIA III
AEC02  TENDENCIAS Y POLITICAS EDUCATIVAS
TH212  TEORIA CRITICA DE LA ARQUITECTURA
P0031  TEORIA DE DECISIONES
AC502  TEORIA DE DESARROLLO
MC120  TEORIA DE JUEGOS
TH156  TEORIA DE LA ARQUITECTURA I
TH157  TEORIA DE LA ARQUITECTURA II
CC209  TEORIA DE LA COMPUTACION
IF163  TEORIA DE LA COMPUTACION
SM114  TEORIA DE LA COMUNICACION HUMANA
IF165  TEORIA DE LA COMUNICACION I
TH154  TEORIA DE LA COMUNICACION I
IF166  TEORIA DE LA COMUNICACION II
TH155  TEORIA DE LA COMUNICACION II
IF167  TEORIA DE LA COMUNICACION III
DP500  TEORIA DE LA CONSTITUCION
TH130  TEORIA DE LA FORMA
DV102  TEORIA DE LAS OBLIGACIONES
DV104  TEORIA DEL ACTO DE COMERCIO Y COMERCIANTE
TH248  TEORIA DEL COLOR
DP102  TEORIA DEL DELITO
DV101  TEORIA DEL DERECHO CIVIL
DD105  TEORIA DEL ESTADO
AC500  TEORIA DEL TURISMO
AC501  TEORIA ECOLOGICA
IF129  TEORIA ELECTROMAGNETICA
DV502  TEORIA GENERAL DE LAS OBLIGACIONES
AD138  TEORIA GENERAL DE SISTEMAS
DV500  TEORIA GENERAL DEL ACTO JURIDICO
DV100  TEORIA GENERAL DEL PROCESO
DV501  TEORIA GENERAL DEL PROCESO
DS110  TEORIA GENERAL DERECHO ADMINISTRATIVO
TC136  TEORIA MATEMATICA DE LA INFORMACION
DS500  TEORIA SOCIAL I
DS501  TEORIA SOCIAL II
P0077  TEORIA Y DISE~O CURRICULAR
AEC01  TEORIA Y ESPISTEMOLOGIA EDUCATIVA
SCJ81  TEORIA Y PRACTICA DE LA EDUCACION A DISTANCIA
SSI07  TEORIA Y PRACTICA DE LA EDUCACION A DISTANCIA
PB116  TEORIA Y PRACTICA DE LA ENTREVISTA
PA124  TEORIA Y TECNICA DE LA PSICOLOGIA DEL TRABAJO
IF113  TEORIA Y TECNOLOGIA DE RUTA
PB118  TEORIAS CLASICAS DE LA PERSONALIDAD
PB119  TEORIAS CONTEMPORANEAS DE LA PERSONALIDAD
SCJ01  TEORIAS DEL APRENDIZAJE
SCJ72  TEORIAS DEL APRENDIZAJE (N)
CM509  TEORIAS DEL APRENDIZAJE Y LA EVALUACION
PB120  TEORIAS Y CORRIENTES CONTEMPORANEAS EN PSICOLOGIA I
PB121  TEORIAS Y CORRIENTES CONTEMPORANEAS EN PSICOLOGIA II
PC504  TERAPIA FAMILIAR CONSTRUCTIVISTA
PC505  TERAPIA FAMILIAR SOCIO-CONSTRUCCIONISTA
TH208  TERMINOLOGIA Y LEXICOLOGIA
PQ108  TESIS I
PR125  TESIS I
PQ109  TESIS II
PR126  TESIS II
PD146  TEXTILES
DV109  TITULOS Y OPERACIONES DE CREDITO
CC417  TOPICOS SELECTOS DE COMPUTACION I
CC418  TOPICOS SELECTOS DE COMPUTACION II
CC419  TOPICOS SELECTOS DE COMPUTACION III
CC420  TOPICOS SELECTOS DE INFORMATICA I
CC421  TOPICOS SELECTOS DE INFORMATICA II
CC422  TOPICOS SELECTOS DE INFORMATICA III
SI540  TOPICOS SELECTOS DE SISTEMAS DE INFORMACION APLICADOS A LA ADMINISTRACION
IT361  TOPOGRAFIA GENERAL
IN115  TOPOGRAFIA I
IN120  TOPOGRAFIA II
IN125  TOPOGRAFIA III
TC117  TOPOGRAFIA,FOTOGRAMETRIA E INTERPRETACION
TIN00  TRABAJO DE INVESTIGACION
ITT01  TRABAJO DE TESIS
ITE10  TRABAJO DE TESIS
AC526  TRANSICIONES SOCIALES
NC110  TRASTORNOS DEL LENGUAJE
MN583  TRATADOS COMERCIALES (N)
IT354  TRATAMIENTO DE AGUAS RESIDUALES
AC510  TURISMO ALTERNATIVO Y LAS MEGATENDENCIAS
TR151  TURISMO RURAL
TR152  TURISMO SOCIAL
TR153  TURISMO SUSTENTABLE
H0004  TUTORIAS EN EL NIVEL MEDIO SUPERIOR
CS111  UNIVERSIDAD Y SOCIEDAD
TR154  URBANIDAD
IN142  URBANISMO
PU117  URBANISTICA
IN146  URBANIZACION
IF203  USO DE LAS TECNOLOGIAS MULTIMEDIA EN EDUCACION A DISTANCIA
AEP08  USO DE TECNOLOGIAS EN EDUCACION I
AEP09  USO DE TECNOLOGIAS EN EDUCACION II
AEP10  USO DE TECNOLOGIAS EN EDUCACION III
AEP11  USO DE TECNOLOGIAS EN EDUCACION IV
P0068  VALUACION DE EMPRESAS
IF140  VARIABLE COMPLEJA
TR155  VENTAS EN SERVICIOS TURISTICOS
IN134  VIAS TERRESTRES
DP114  VICTIMOLOGIA
AV284  VIDEO
IF175  VIDEO DIGITAL
SSI54  VIDEO EDUCATIVO
PR100  VIDEO I
PR101  VIDEO II
SSI05  VIDEO PARA EDUCACION
SSI71  VIDEO PARA EDUCACION (N)
PD145  VITRALES
MA508  VULCANOLOGIA
1442
