AV280  ACRILICO
AU509  AUDITORIO PARA EFECTOS FISCALES
SSI10  AUTORIA PARA MULTIMEDIA
IT402  AVALUOS
EN102  BANCA Y ORGANIZACIONES AUXILIARES DE CREDITO
CT127  BANCARIA, INSTITUCIONES Y ORGANISMOS AUXILIARES DE CREDITO
DV110  BANCARIO
IF131  BASE DE DATOS
NC100  BASES BIOLOGICAS DE LA ACTIVIDAD PSIQUICA
CC302  BASES DE DATOS
NC101  BASES FUNCIONALES DEL PSIQUISMO HUMANO
PB103  BASES TEORICAS DE LA DINAMICA DE GRUPOS
AV226  BATIK
TH244  BIBLIOTECOLOGIA
DV106  BIENES Y DERECHOS REALES
CS104  BIOETICA
MH127  BIOMECANICA
FO101  BIOQUIMICA BASICA
TR103  BOLETAJE AEREO NACIONAL E INTERNACIONAL
RE140  CAD APLICADO A LA ARQUITECTURA I
RE141  CAD APLICADO A LA ARQUITECTURA II
MT113  CALCULO AVANZADO
IF128  CALCULO DE MULTIVARIABLES
IF114  CALCULO DIFERENCIAL E INTEGRAL
MT110  CALCULO DIFERENCIAL E INTEGRAL
TC105  CALCULO DIFERENCIAL E INTEGRAL
AD125  CALIDAD TOTAL
P0017  CALIDAD TOTAL
SRH02  CAPACITACION PARA EL TRABAJO
PR111  CARICATURA
TC125  CARPINTERIA
TC137  CARPINTERIA Y HERRERIA
IT394  CARRETERAS
AC517  CENTROS INTEGRAMENTE PLANEADOS: IMPACTO AMBIENTAL
AV223  CERAMICA BASICA I
AV224  CERAMICA BASICA II
NC107  CIENCIAS COGNITIVAS
DV120  CIENCIAS DOGMATICAS I
DV121  CIENCIAS DOGMATICAS II
DV122  CIENCIAS DOGMATICAS III
DV123  CIENCIAS DOGMATICAS IV
DV124  CIENCIAS DOGMATICAS V
IT333  CIMENTACIONES
IT431  CIMENTACIONES PROFUNDAS
IF101  CIRCUITOS ELECTRICOS
IM202  CIRCUITOS ELECTRICOS I
TR108  COCINA Y REPOSTERIA
P0075  COMERCIALIZACION DE SERVICIOS FINANCIEROS
PR139  COMERCIALIZACION Y DISTRIBUCION DE CINE VIDEO Y TELEVISION
CT128  COMERCIO EXTERIOR, INTERNACIONAL Y MAQUILADORAS
P0029  COMERCIO INTERNACIONAL
P0045  COMERCIO INTERNACIONAL
MN105  COMERCIO INTERNACIONAL
MN581  COMERCIO INTERNACIONAL (N)
CT129  COMISIONES, MEDIACIONES, AGENCIAS Y REPRESENTACIONES
CC317  COMPILADORES
RH145  COMPORTAMIENTO HUMANO
ID201  COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES
AD126  COMPORTAMIENTO ORGANIZACIONAL
AD145  COMPORTAMIENTO ORGANIZACIONAL
PQ100  COMPOSICION ARQUITECTONICA I
PQ101  COMPOSICION ARQUITECTONICA II
PQ102  COMPOSICION ARQUITECTONICA III
PQ103  COMPOSICION ARQUITECTONICA IV
PQ104  COMPOSICION ARQUITECTONICA V
PQ105  COMPOSICION ARQUITECTONICA VI
PQ106  COMPOSICION ARQUITECTONICA VII
PQ107  COMPOSICION ARQUITECTONICA VIII
DD114  COMPUTACION
PR148  COMPUTACION
IN100  COMPUTACION I
PR118  COMPUTACION I
IN101  COMPUTACION II
PR119  COMPUTACION II
CC411  COMPUTACION TOLERANTE A FALLAS
IF136  COMUNICACION DIGITAL
PA105  COMUNICACION EDUCATIVA
CM511  COMUNICACION EDUCATIVA Y DESARROLLO COMUNITARIO
IF170  COMUNICACION ESCRITA
IF177  COMUNICACION MULTIMEDIA
IF171  COMUNICACION ORAL
IF141  COMUNICACION SATELITAL
IF172  COMUNICACION VISUAL
IF135  COMUNICACIONES OPTICAS
CM500  CONCEPCION DE MUNDO Y EL SENTIDO DE REALIDAD
DV117  CONDOMINIO
MN107  CONDUCTA DEL CONSUMIDOR
AE193  CONFECCION DE UTILERIA
ADC01  CONOCIMIENTO DE LA REALIDAD
IT405  CONSERVACION Y MANTENIMIENTO DE CONSTRUCCIONES
IT494  CONSERVACION Y MANTENIMIENTO DE VIAS DE COMUNICACION
IT301  CONSTRUCCION I
IN117  CONSTRUCCION I
IT302  CONSTRUCCION II
IN122  CONSTRUCCION II
IT303  CONSTRUCCION III
IN128  CONSTRUCCION III
IN140  CONSTRUCCION IV
IN157  CONSTRUCCIONES RURALES
P0021  CONTABILIDAD ADMINISTRATIVA
CT102  CONTABILIDAD ADMINISTRATIVA
CT504  CONTABILIDAD ADMINISTRATIVA
DS113  CONTABILIDAD APLICADA AL DERECHO
CT119  CONTABILIDAD DE COSTOS EN SERVICIOS TURISTICOS
CT115  CONTABILIDAD DE COSTOS I
CT503  CONTABILIDAD FINANCIERA Y DE COSTOS
CT114  CONTABILIDAD GUBERNAMENTAL
CT100  CONTABILIDAD I
CT101  CONTABILIDAD II
CT103  CONTABILIDAD III
MN145  CONTABILIDAD INTERNACIONAL
CT104  CONTABILIDAD IV
EN103  CONTABILIDAD NACIONAL
CT105  CONTABILIDAD V
CT106  CONTABILIDAD VI
CT107  CONTABILIDAD VII
CT108  CONTABILIDAD VIII
DS112  CONTENCIOSO ADMINISTRATIVO
DV105  CONTRATOS
MC102  CONTROL ESTADISTICO DE PROCESOS
MC527  CONTROL ESTADISTICO DE PROCESOS (N)
P0074  CONTROL INTERNO EN INSTITUCIONES FINANCIERAS
AEP01  COORDINACION DE INTERVENCION EDUCATIVA
DV115  CORREDURIA PUBLICA
CT109  COSTOS I
CT110  COSTOS II
CT111  COSTOS III
CT112  COSTOS IV
AV107  CREATIVIDAD
DP113  CRIMINALISTICA
DP115  CRIMINOLOGIA
DP503  CRIMINOLOGIA I
DP504  CRIMINOLOGIA II
TH272  CRITICO DE ARTE I
TH273  CRITICO DE ARTE II
TR109  CULTURA GASTRONOMICA
PC509  CULTURA Y PROBLEMAS CONTEMPORANEOS
AV219  CURADOR I
AV220  CURADOR II
CM516  CURRICULUM Y EDUCACION AMBIENTAL
MH104  DANZA Y MOVIMIENTO LIBRE
AE189  DANZAS AUTOCTONAS
AV236  DEALER
P0055  DECISIONES DE INVERSIONES
ADC13  DELINCUENCIA Y LEGISLACION
DP112  DELITOS ESPECIALES
TH115  DEONTOLOGIA
DP121  DERECHO ADUANERO
DP133  DERECHO ADUANERO
DS104  DERECHO AGRARIO
DS504  DERECHO AGRARIO I
DS505  DERECHO AGRARIO II
DS107  DERECHO BUROCRATICO
DV119  DERECHO CANONICO
DS119  DERECHO CASTRENSE
CJ101  DERECHO CIVIL
DV503  DERECHO CIVIL Y FINANCIERO I
DV504  DERECHO CIVIL Y FINANCIERO II
DS102  DERECHO COLECTIVO DEL TRABAJO
DD111  DERECHO COMPARADO
CJ100  DERECHO CONSTITUCIONAL
DP100  DERECHO CONSTITUCIONAL
P0038  DERECHO CONSTITUCIONAL ADMINISTRATIVO  FISCAL
CJ551  DERECHO CONSTITUCIONAL ADMINISTRATIVO FISCAL
DP505  DERECHO CONSTITUCIONAL Y AMPARO I
DP506  DERECHO CONSTITUCIONAL Y AMPARO II
DP122  DERECHO CONSULAR
DP136  DERECHO CONSULAR
CJ550  DERECHO CORPORATIVO I
DV505  DERECHO CORPORATIVO I
P0040  DERECHO CORPORATIVO I
CJ552  DERECHO CORPORATIVO II
DV506  DERECHO CORPORATIVO II
P0044  DERECHO CORPORATIVO II
DV113  DERECHO DE AUTOR
DP108  DERECHO DEL COMERCIO INTERNACIONAL
DP129  DERECHO ECOLOGICO
DS116  DERECHO ECOLOGICO
DD106  DERECHO ECONOMICO
CJ105  DERECHO FISCAL
DS118  DERECHO FISCAL
MP502  DERECHO FISCAL COMPARADO
P0042  DERECHO FISCAL COMPARADO
CJ106  DERECHO I
CJ109  DERECHO II
DS101  DERECHO INDIVIDUAL DEL TRABAJO
DP105  DERECHO INTERNACIONAL PRIVADO
DP107  DERECHO INTERNACIONAL PUBLICO
CJ111  DERECHO LABORAL
DP125  DERECHO MARITIMO INTERNACIONAL
DP135  DERECHO MARITIMO INTERNACIONAL
CJ102  DERECHO MERCANTIL I
CJ103  DERECHO MERCANTIL II
DP123  DERECHO MIGRATORIO
DP137  DERECHO MIGRATORIO
DP130  DERECHO MINERO
DS117  DERECHO MINERO
DV118  DERECHO MONETARIO
DP131  DERECHO MUNICIPAL
DS114  DERECHO MUNICIPAL
DV116  DERECHO NOTARIAL
DV507  DERECHO NOTARIAL Y REGISTRAL I
DV508  DERECHO NOTARIAL Y REGISTRAL II
DP111  DERECHO PENITENCIARIO
DS103  DERECHO PROCESAL DEL TRABAJO
DS122  DERECHO PROCESAL FISCAL
DP119  DERECHO REGISTRAL
DP128  DERECHO REGISTRAL
DD103  DERECHO ROMANO
DS120  DERECHO TURISTICO
DP127  DERECHO URBANO
DS115  DERECHO URBANO
DS100  DERECHO Y SEGURIDAD SOCIAL
DP117  DERECHOS HUMANOS
AD127  DESARROLLO DE EMPRENDEDORES
IF160  DESARROLLO DE HABILIDADES DE PENSAMIENTO
SCJ07  DESARROLLO DE PROCESOS Y AMBIENTES DE APRENDIZAJE
SCJ80  DESARROLLO DE PROCESOS Y AMBIENTES DE APRENDIZAJE (N)
AD128  DESARROLLO E INNOVACION TECNOLOGICA
AD129  DESARROLLO ORGANIZACIONAL
EN106  DESARROLLO REGIONAL Y SUSTENTABILIDAD
DD119  DESARROLLO TECNOLOGICO I
DD133  DESARROLLO TECNOLOGICO II
DD134  DESARROLLO TECNOLOGICO III
DD135  DESARROLLO TECNOLOGICO IV
DD136  DESARROLLO TECNOLOGICO V
CM523  DESARROLLO URBANO
AD535  DESARROLLO Y CULTURA ORGANIZACIONAL
PA121  DESARROLLO, APRENDIZAJE Y EDUCACION
AEP03  DESCENTRALIZACION EDUCATIVA
TR110  DESPACHADOR DE VUELOS
AEP06  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MACRO
AEP07  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MICRO
AEC03  DIAGNOSTICO EDUCATIVO
P0066  DIAGNOSTICO FINANCIERO DE LA EMPRESA
AEE12  DIAGNOSTICO Y FUNDAMENTACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE16  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION  PARA LA SALUD
AEE20  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION AMBIENTAL
AEE28  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION ARTISTICA
AEE55  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE INFRACTORES
AEE51  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE NI~OS DE LA CALLE
AEE32  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION EN LENGUAS
AEE24  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION FISICA
AEE36  DIAGNOSTICO Y FUNDAMENTACION DE LA EPISTEMOLOGIA DE LA CIENCIA
AV232  DIBUJO
IT201  DIBUJO CONSTRUCTIVO
IN112  DIBUJO TECNICO
RE112  DIBUJO TECNICO GRAFICO
CT133  DICTAMEN AUDITORIA FISCALES
CS114  DIDACTICA GENERAL
MN109  DIFERENCIAS CULTURALES
FS104  DINAMICA
PB104  DINAMICA DE GRUPOS
MA510  DINAMICA DEL MEDIO CONTINUO
IT415  DINAMICA ESTRUCTURAL
P0058  DIRECCION ESTRATEGICA
SI106  DISE~O DE BASE DE DATOS
SSI08  DISE~O DE CURSOS DE EDUCACION A DISTANCIA
IT325  DISE~O DE ESTRUCTURAS DE ACERO I
IT421  DISE~O DE ESTRUCTURAS DE ACERO II
IT321  DISE~O DE ESTRUCTURAS DE CONCRETO I
IT425  DISE~O DE ESTRUCTURAS DE CONCRETO II
FM100  DISE~O DE INSTRUMENTOS DE MEDICION
PU175  DISE~O DE JARDINES
