AEE34  PRACTICAS EN LA EDUCACION DE LA EDUCACION EN LENGUAS
AEE26  PRACTICAS EN LA EDUCACION DE LA EDUCACION FISICA
AEE06  PRACTICAS EN LA EDUCACION DE LA TERCERA EDAD
AEE53  PRACTICAS EN LA EDUCACION DE NI~OS DE LA CALLE
CM503  RACIONALIDADES EDUCATIVAS Y FORMACION DE SUJETOS EN EL MARCO DE LA PROBLEMATICA AMBIENTAL ACTUAL
CM501  RACIONALIDADES PARA LA CONSTRUCCION DEL CONOCIMIENTO
CM502  RECONSTRUCCION DEL CONOCIMIENTO Y LOS SABERES AMBIENTALES
CM524  RECURSOS DIDACTICOS PARA LA EDUCACION AMBIENTAL
ADC14  REDACCION
AEC12  REDES DE APRENDIZAJE
ADC11  SISTEMA EDUCATIVO NACIONAL
CM506  SUSTENTABILIDAD Y MODELOS DE DESARROLLO
CM518  TECNICAS DEL DESARROLLO DEL TALENTO Y LA CREATIVIDAD
AEC02  TENDENCIAS Y POLITICAS EDUCATIVAS
AEC01  TEORIA Y ESPISTEMOLOGIA EDUCATIVA
CM509  TEORIAS DEL APRENDIZAJE Y LA EVALUACION
TIN00  TRABAJO DE INVESTIGACION
AEP08  USO DE TECNOLOGIAS EN EDUCACION I
AEP09  USO DE TECNOLOGIAS EN EDUCACION II
AEP10  USO DE TECNOLOGIAS EN EDUCACION III
AEP11  USO DE TECNOLOGIAS EN EDUCACION IV
113
