Z146<  BIOTECNOLOGIA VEGETAL
BZ146  BIOTECNOLOGIA VEGETAL
BZ119  BOTANICA FORESTAL
BZ156  BOTANICA GENERAL Y SISTEMATICA.
N102<  BROMATOLOGIA
PN102  BROMATOLOGIA
BZ136  CACTACEAS
BC104  CALCULO DIFERENCIAL E INTEGRAL
M108<  CALIDAD DE AGUAS
CM108  CALIDAD DE AGUAS
PF108  CAMINOS FORESTALES
SA116  CAMPA~AS ZOOSANITARIAS
F134<  CELULOSA Y PAPEL
PF134  CELULOSA Y PAPEL
SA103  CIENCIA DE LA CARNE
SA102  CIENCIA DE LA LECHE
V130<  CIRUGIA DE TEJIDOS BLANDOS Y ORTOPEDIA EN PERROS Y GATOS
MV130  CIRUGIA DE TEJIDOS BLANDOS Y ORTOPEDIA EN PERROS Y GATOS
BC122  CIRUGIA EXPERIMENTAL ANIMAL
V110<  CIRUGIA VETERINARIA
MV110  CIRUGIA VETERINARIA
BC115  CITOGENETICA
C115<  CITOGENETICA
MV122  CLINICA DE AVES
MV121  CLINICA DE BOVINOS
MV125  CLINICA DE CAPRINOS
MV123  CLINICA DE EQUINOS
MV128  CLINICA DE GATOS
MV124  CLINICA DE OVINOS
MV126  CLINICA DE PERROS
MV127  CLINICA DE PORCINOS
V129<  CLINICA Y MANEJO DE FAUNA SILVESTRE
MV129  CLINICA Y MANEJO DE FAUNA SILVESTRE
BZ152  COLECCIONES BOTANICAS
BZ120  COLORANTES ORGANICOS
PS120  COMERCIO INTERNACIONAL DE PRODUCTOS AGROPECUARIOS Y FORESTALES
PS168  COMPUTACION AVANZADA
PS167  COMPUTACION BASICA
FO520  COMUNICACION
CM511  COMUNICACION EDUCATIVA Y DESARROLLO COMUNITARIO
CM500  CONCEPCION DE MUNDO Y EL SENTIDO DE REALIDAD
Z141<  CONIFERAS
BZ141  CONIFERAS
ADC01  CONOCIMIENTO DE LA REALIDAD
EC106  CONSERVACION BIOLOGICA
M103<  CONSERVACION DEL SUELO Y AGUA
CM103  CONSERVACION DEL SUELO Y AGUA
PF118  CONSTRUCCIONES RURALES
PS170  CONTABILIDAD
S121<  CONTABILIDAD AGROPECUARIA
PS121  CONTABILIDAD AGROPECUARIA
PG557  CONTROL AVANZADO DE ENFERMEDADES DE PLANTAS
PG556  CONTROL AVANZADO DE INSECTOS
G117<  CONTROL BIOLOGICO
PG117  CONTROL BIOLOGICO
PG118  CONTROL DE CALIDAD DE SEMILLAS
PG536  CONTROL DE CALIDAD EN SEMILLAS
G119<  CONTROL DE PLAGAS HORTICOLAS
PG119  CONTROL DE PLAGAS HORTICOLAS
G120<  CONTROL INTEGRADO DE PLAGAS AGRICOLAS
PG120  CONTROL INTEGRADO DE PLAGAS AGRICOLAS
G111<  CONTROL INTEGRADO DE PLAGAS FORESTALES
PG111  CONTROL INTEGRADO DE PLAGAS FORESTALES
AEP01  COORDINACION DE INTERVENCION EDUCATIVA
BZ114  CORDADOS
S122<  CREDITO AGROPECUARIO
PS122  CREDITO AGROPECUARIO
PG549  CULTIVO DE TEJIDOS
C107<  CULTIVOS DE APOYO Y NUTRICION EN LA ACUICULTURA
EC107  CULTIVOS DE APOYO Y NUTRICION EN LA ACUICULTURA
PG121  CULTIVOS INDUSTRIALIZABLES
CM516  CURRICULUM Y EDUCACION AMBIENTAL
F109<  DASOMETRIA
PG538  DASOMETRIA
PF109  DASOMETRIA
F129<  DASONOMIA URBANA
PF129  DASONOMIA URBANA
CM128  DEGRADACION DE SISTEMAS TERRESTRES
ADC13  DELINCUENCIA Y LEGISLACION
S123<  DERECHO AGRARIO
PS123  DERECHO AGRARIO
S124<  DESARROLLO ORGANIZACIONAL
PS124  DESARROLLO ORGANIZACIONAL
S125<  DESARROLLO RURAL
PS125  DESARROLLO RURAL
PS501  DESARROLLO RURAL SUSTENTABLE
S127<  DESARROLLO SUSTENTABLE
PS127  DESARROLLO SUSTENTABLE
CM523  DESARROLLO URBANO
EC101  DESARROLLO VEGETAL
AEP03  DESCENTRALIZACION EDUCATIVA
S128<  DETERMINACION Y CONTROL DE COSTOS
PS128  DETERMINACION Y CONTROL DE COSTOS
AEP06  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MACRO
AEP07  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MICRO
AEC03  DIAGNOSTICO EDUCATIVO
V118<  DIAGNOSTICO VETERINARIO
MV118  DIAGNOSTICO VETERINARIO
AEE12  DIAGNOSTICO Y FUNDAMENTACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE16  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION  PARA LA SALUD
AEE20  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION AMBIENTAL
AEE28  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION ARTISTICA
AEE55  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE INFRACTORES
AEE51  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE NI~OS DE LA CALLE
AEE32  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION EN LENGUAS
AEE24  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION FISICA
AEE36  DIAGNOSTICO Y FUNDAMENTACION DE LA EPISTEMOLOGIA DE LA CIENCIA
PF136  DIBUJO AGROPECUARIO APLICADO
PF103  DIBUJO AGROPECUARIO Y TOPOGRAFICO
BZ148  DIBUJO CIENTIFICO
BZ139  DICOTILEDONEAS
FO519  DIDACTICA
CM109  DIDACTICA DE LA BIOLOGIA
AEC05  DISE~O DE PROGRAMAS Y PROYECTOS EDUCATIVOS
PG547  DISE~O Y ANALISIS DE PROGRAMAS DE FITOMEJORAMIENTO
G122<  DISE~O Y CONSTRUCCION DE INVERNADEROS
PG122  DISE~O Y CONSTRUCCION DE INVERNADEROS
AEC11  DISE~O Y EVALUACION CURRICULAR
PF505  DISE~O Y MANEJO DE TECNOLOGIAS AGROFORESTALES
AEC13  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA I
AEC14  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA II
PG503  DISE~OS EXPERIMENTALES
PS129  DISE~OS EXPERIMENTALES
S130<  DISE~OS EXPERIMENTALES AVANZADOS
PS130  DISE~OS EXPERIMENTALES AVANZADOS
BC109  DISE~OS EXPERIMENTALES EN LA INVESTIGACION BIOLOGICA
PG544  DISE~OS GENETICOS
EC119  ECOFISIOLOGIA DE ESPECIES PERENNES LE~OSAS
EC118  ECOFISIOLOGIA DE ORGANISMOS ACUATICOS
C112<  ECOFISIOLOGIA VEGETAL
EC112  ECOFISIOLOGIA VEGETAL
EC108  ECOLOGIA COSTERA
C104<  ECOLOGIA DE COMUNIDADES
EC104  ECOLOGIA DE COMUNIDADES
EC125  ECOLOGIA DE PASTIZALES
C103<  ECOLOGIA DE POBLACIONES
EC103  ECOLOGIA DE POBLACIONES
F111<  ECOLOGIA FORESTAL
PF111  ECOLOGIA FORESTAL
EC100  ECOLOGIA GENERAL
M110<  ECONOMIA AMBIENTAL
CM110  ECONOMIA AMBIENTAL
PS164  ECONOMIA FORESTAL
PS107  ECONOMIA GENERAL
SCM01  ECONOMIA Y SALUD AMBIENTAL
M111<  ECOTURISMO
CM111  ECOTURISMO
CM104  EDAFOLOGIA
CM132  EDAFOLOGIA FORESTAL
CM138  EDUCACION AMBIENTAL
AEC04  EDUCACION COMPARADA
SCM02  EDUCACION PARA LA SALUD AMBIENTAL
CM507  EL CAMPO DE LA EDUCACION AMBIENTAL EN AMERICA LATINA Y EL CARIBE
ADC03  EL FENOMENO EDUCATIVO
PG528  EL MICROCLIMA DEL MEDIO DE AMBIENTE BIOLOGICO
ADC08  EL TRABAJO SOCIAL EN EL AMBITO ESCOLAR
F102<  ELEMENTOS DE TOPOGRAFIA
PF102  ELEMENTOS DE TOPOGRAFIA
MV102  EMBRIOLOGIA VETERINARIA
A115<  ENFERMEDADES EXOTICAS DE LOS ANIMALES DOMESTICOS
