ID221  ABASTECIMIENTOS E INVENTARIOS
FB573  ACREDITACION DE LABORATORIO CLINICO
ID204  ADMINISTRACION
ID555  ADMINISTRACION APLICADA A LA VALUACION
CC313  ADMINISTRACION DE BASES DE DATOS
ID223  ADMINISTRACION DE EMPRESAS
ID408  ADMINISTRACION DE LA CALIDAD
CC625  ADMINISTRACION DE LOS SISTEMAS DE INFORMACION
IP507  ADMINISTRACION DE PROYECTOS
ID516  ADMINISTRACION DE PROYECTOS DE SISTEMAS DE CALIDAD
IM411  ADMINISTRACION DE RECURSOS ENERGETICOS
ID202  ADMINISTRACION DE RECURSOS HUMANOS
CC326  ADMINISTRACION DE SISTEMAS OPERATIVOS
CC615  ADMINISTRACION DEL DESARROLLO DE SOFTWARE
ID403  ADMINISTRACION DEL MANTENIMIENTO INDUSTRIAL
IP542  ADMINISTRACION ESTRATEGICA DE LA TECNOLOGIA
ID509  ADMINISTRACION PARA CALIDAD TOTAL
IM680  ADMINISTRACION TOTAL DE LA CALIDAD
CC329  ADMINISTRACION Y DISE~O DE REDES
CC645  ADMINISTRACION Y DISE~O DE REDES
ID439  ADMINISTRACION Y EVALUACION DE LA TECNOLOGIA MEDICA
QM406  ADQUISICION DE DATOS EXPERIMENTALES
FS224  AEROLOGIA
IT492  AEROPUERTOS
FB504  AGENTES PATOGENOS TRANSMITIDOS POR ALIMENTOS
FS432  AGROMETEOROLOGIA
IT352  AGUA POTABLE Y AL CANTARILLADO
IM601  AHORRO DE ENERGIA
MT102  ALGEBRA
MT672  ALGEBRA LINEAL
MT120  ALGEBRA LINEAL I
MT220  ALGEBRA LINEAL II
MT602  ALGEBRA MATRICIAL Y NUMERICA
MT502  ALGEBRA MODERNA
MT201  ALGEBRA MODERNA I
MT202  ALGEBRA MODERNA II
MT301  ALGEBRA MODERNA III
MT302  ALGEBRA MULTILINEAL
MT551  ALGEBRA SUPERIOR
MT674  ALGEBRA Y SU DESARROLLO CONCEPTUAL
MT307  ALGEBRAS DE LIE
FB514  ALIMENTOS NO CONVENCIONALES
IM602  ANALISIS AVANZADO DE SISTEMAS ELECTRICOS
QM301  ANALISIS BROMATOLOGICOS
IM547  ANALISIS CON EL METODO DE ELEMENTOS FINITOS
ID203  ANALISIS CONTABLE
MT352  ANALISIS CONVEXO
MI524  ANALISIS DE ARMONICAS EN SISTEMAS ELECTRICOS
FS555  ANALISIS DE LOS PROCESOS Y CAMPOS GEOFISICOS
IQ601  ANALISIS DE REACTORES DE POLIMERIZACION
IQ502  ANALISIS DE REACTORES QUIMICOS
IQ629  ANALISIS DE REACTORES QUIMICOS
MT358  ANALISIS DE REGRESION
FB527  ANALISIS DE RIESGOS
FS574  ANALISIS DE RIESGOS HIDROMETEOROLOGICAS
FS307  ANALISIS DE SE~ALES
IM521  ANALISIS DE SISTEMAS LINEALES
QM515  ANALISIS DE SUPERFICIES Y PELICULAS DELGADAS
MT604  ANALISIS ESPECTRAL
FS419  ANALISIS ESPECTRAL DE LOS PROCESOS GEOFISICOS
FS686  ANALISIS ESPECTRAL DE LOS PROCESOS Y CAMPOS ALEATORIOS
IP528  ANALISIS ESTADISTICO
MT541  ANALISIS ESTADISTICO
P0853  ANALISIS ESTRUCTURAL AVANZADO
IT315  ANALISIS ESTRUCTURAL I
IT316  ANALISIS ESTRUCTURAL II
IM661  ANALISIS EXPERIMENTAL DE ESFUERZOS
FB212  ANALISIS FARMACEUTICO I
FB221  ANALISIS FARMACEUTICO II
MT504  ANALISIS FUNCIONAL
MT212  ANALISIS FUNCIONAL I
MT344  ANALISIS FUNCIONAL II
IP538  ANALISIS INSTRUMENTAL Y ORGANICO
FB215  ANALISIS MICROBIOLOGICOS
